0MEFAC03084812011053100120110430001201105319780022777                                                 
1201105310511103650022777PT503016160   DIRECTOR MEIOS E PROJECTOS              301                    
2A     Ligaá∆o Central                                                                                
3A 1   Bancos                                                                                         
4A 1 1 201105311                        CPU em real time      000100000000000000000000010000000100000D
6A 1   0000000100000D                                                                                 
7A     0000000000100000D                                                                              
2E     Utilizaá∆o de Cart‰es                                                                          
3E 1   Direitos de Utilizaá∆o                                                                         
4G 2 1 20110506MDST520110506001         De 1 a 40000          000000001437000000000009200000000001322D
4G 2 1 20110507MDST520110507001         De 1 a 40000          000000001437000000000007770000000001117D
4G 2 1 20110508MDST520110508001         De 1 a 40000          000000001437000000000005410000000000777D
4G 2 1 20110509MDST520110509001         De 1 a 40000          000000001437000000000008480000000001219D
4G 2 1 20110510MDST520110510001         De 1 a 40000          000000001437000000000007810000000001122D
4G 2 1 20110511MDST520110511001         De 1 a 40000          000000001437000000000007250000000001042D
4G 2 1 20110512MDST520110512001         De 1 a 40000          000000001437000000000006990000000001004D
4G 2 1 20110513MDST520110513001         De 1 a 40000          000000001437000000000006620000000000951D
4G 2 1 20110514MDST520110514001         De 1 a 40000          000000001437000000000005970000000000858D
4G 2 1 20110515MDST520110515001         De 1 a 40000          000000001437000000000005300000000000762D
4G 2 1 20110516MDST520110516001         De 1 a 40000          000000001437000000000007680000000001104D
4G 2 1 20110517MDST520110517001         De 1 a 40000          000000001437000000000007180000000001032D
4G 2 1 20110518MDST520110518001         De 1 a 40000          000000001437000000000008260000000001187D
4G 2 1 20110519MDST520110519001         De 1 a 40000          000000001437000000000007840000000001127D
4G 2 1 20110520MDST520110520001         De 1 a 40000          000000001437000000000007810000000001122D
4G 2 1 20110521MDST520110521001         De 1 a 40000          000000001437000000000007040000000001012D
4G 2 1 20110522MDST520110522001         De 1 a 40000          000000001437000000000005180000000000744D
4G 2 1 20110523MDST520110523001         De 1 a 40000          000000001437000000000007060000000001015D
4G 2 1 20110524MDST520110524001         De 1 a 40000          000000001437000000000007040000000001012D
4G 2 1 20110525MDST520110525001         De 1 a 40000          000000001437000000000007060000000001015D
4G 2 1 20110526MDST520110526001         De 1 a 40000          000000001437000000000006490000000000933D
4G 2 1 20110527MDST520110527001         De 1 a 40000          000000001437000000000006620000000000951D
4G 2 1 20110528MDST520110528001         De 1 a 40000          000000001437000000000005700000000000819D
4G 2 1 20110529MDST520110529001         De 1 a 40000          000000001437000000000004510000000000648D
4G 2 1 20110530MDST520110530001         De 1 a 40000          000000001437000000000006510000000000935D
4G 2 1 20110531MDST520110531001         De 1 a 40000          000000001437000000000006760000000000971D
6G 2   0000000033455D                                                                                 
3G 3   Compras TPA                                                                                    
4G 3 1 20110501MDST520110501001         De 1 a 200000         000000000847000000000065710000000005566D
4G 3 1 20110502MDST520110502001         De 1 a 200000         000000000847000000000025440000000002155D
4G 3 1 20110503MDST520110503001         De 1 a 200000         000000000847000000000023860000000002021D
4G 3 1 20110504MDST520110504001         De 1 a 200000         000000000847000000000026350000000002232D
4G 3 1 20110505MDST520110505001         De 1 a 200000         000000000847000000000027240000000002307D
4G 3 1 20110506MDST520110506001         De 1 a 200000         000000000847000000000028370000000002403D
4G 3 1 20110507MDST520110507001         De 1 a 200000         000000000847000000000043590000000003692D
4G 3 1 20110508MDST520110508001         De 1 a 200000         000000000847000000000038810000000003287D
4G 3 1 20110509MDST520110509001         De 1 a 200000         000000000847000000000024970000000002115D
4G 3 1 20110510MDST520110510001         De 1 a 200000         000000000847000000000024500000000002075D
4G 3 1 20110511MDST520110511001         De 1 a 200000         000000000847000000000024250000000002054D
4G 3 1 20110512MDST520110512001         De 1 a 200000         000000000847000000000022610000000001915D
4G 3 1 20110513MDST520110513001         De 1 a 200000         000000000847000000000025740000000002180D
4G 3 1 20110514MDST520110514001         De 1 a 200000         000000000847000000000038830000000003289D
4G 3 1 20110515MDST520110515001         De 1 a 200000         000000000847000000000034920000000002958D
4G 3 1 20110516MDST520110516001         De 1 a 200000         000000000847000000000022990000000001947D
4G 3 1 20110517MDST520110517001         De 1 a 200000         000000000847000000000025350000000002147D
4G 3 1 20110518MDST520110518001         De 1 a 200000         000000000847000000000026720000000002263D
