VDR       	 N. UNICRE        	  CADEIA    	 NOME                                    	                                                  
2284511	992072	9113465	 WORTEN PORTIMAO RC                      	                                                  
2284529	222073	9113465	 WORTEN NA PORTIMAO RC                   	                                                  
2284537	222075	9113465	 WORTEN NA DOLCE VITA TEJO               	                                                  
2284545	992076	9113465	 WORTEN DOLCE VITA TEJO                  	                                                  
2284552	992078	9113465	 WORTEN TAVIRA                           	                                                  
2284560	992080	9113465	 WORTEN SESIMBRA                         	                                                  
2284578	992082	9113465	 WORTEN FERRARA PLAZA                    	                                                  
2284586	992083	9113465	 WORTEN MEM MARTINS                      	                                                  
2284594	992084	9113465	 WORTEN NA GUIMARAES                     	                                                  
2284602	992086	9113465	 WORTEN MAIA VIVACI                      	                                                  
2284610	992088	9113465	 WORTEN REGUA                            	                                                  
2284628	222089	9113465	 WORTEN AVEIRO SHOP                      	                                                  
2284636	992091	9113465	 WORTEN MAIA JARDIM                      	                                                  
2284644	992093	9113465	 WORTEN LIXA                             	                                                  
2284651	0	9113465	 WORTEN SITE                             	                                                  
2284669	9999999999	9113481	 INSCO RIBEIRA GRANDE - WRT              	                                                  
2284677	1772028	9113481	 INSCO ANGRA HEROISMO - WRT              	                                                  
2284685	1772020	9113481	 INSCO HORTA - WORTEN                    	                                                  
2284693	999999999	9113481	 INSCO LAGOA - WORTEN                    	                                                  
2284701	1772001	9113481	 INSCO PONTA DELGADA - WRT               	                                                  
2284719	1772023	9113481	 INSCO PRAIA VITORIA - WORTEN            	                                                  
2284727	222876	9113705	 WORTEN MOBILE FERRARA PLAZA             	                                                  
2284735	999877	9113705	 WORTEN MOBILE PORTALEGRE                	                                                  
2284743	999878	9113705	 WORTEN MOBILE VISEU P.GELO              	                                                  
2284750	999879	9113705	 WORTEN MOBILE GLICINIAS                 	                                                  
2284768	1393809	9113705	 WORTEN MOBILE CO LEIRIA                 	                                                  
2284776	999882	9113705	 WORTEN MOBILE COLOMBO                   	                                                  
2284784	999883	9113705	 WORTEN MOBILE BRAGA PARQUE              	                                                  
2284792	7654071	9113705	 WORTEN MOBILE STD COIMBRA               	                                                  
2284800	7654084	9113705	 WORTEN MOBILE BEJA                      	                                                  
2284818	7654092	9113705	 WORTEN MOBILE TORRES NOVAS              	                                                  
2284826	7654091	9113705	 WORTEN MOBILE VISEU                     	                                                  
2284834	7654086	9113705	 WORTEN MOBILE CASCAIS                   	                                                  
2284842	7654087	9113705	 WORTEN MOBILE LEIRIA                    	                                                  
2284859	7654089	9113705	 WORTEN MOBILE SEIXAL                    	                                                  
2284867	7654085	9113705	 WORTEN MOBILE AMADORA                   	                                                  
2284875	7654097	9113705	 WORTEN MOBILE GUIMARAES                 	                                                  
2284883	7654088	9113705	 WORTEN MOBILE S J MADEIRA               	                                                  
2284891	7654090	9113705	 WORTEN MOBILE VIANA                     	                                                  
2284909	7654093	9113705	 WORTEN MOBILE NORTESHOPPING             	                                                  
2284917	999897	9113705	 WORTEN MOBILE VILA REAL                 	                                                  
2284925	999898	9113705	 WORTEN MOBILE CALDAS RAINHA             	                                                  
2284933	999990	9113705	 WORTEN MOBILE PORTIMAO                  	                                                  
2284941	999995	9113705	 WORTEN MOBILE VASCO GAMA                	                                                  
2284958	992004	9113705	 WORTEN MOBILE ALBUFEIRA                 	                                                  
2284966	992005	9113705	 WORTEN MOBILE OLHAO                     	                                                  
2284974	992006	9113705	 WORTEN MOBILE TOMAR                     	                                                  
2284982	992007	9113705	 WORTEN MOBILE MONTIJO II                	                                                  
2284990	992013	9113705	 WORTEN MOBILE GUIA                      	                                                  
2285005	992015	9113705	 WORTEN MOBILE LOULE                     	                                                  
2285013	992019	9113705	 WORTEN MOBILE SANTAREM                  	                                                  
2285021	992041	9113705	 WORTEN MOBILE GAIASHOPPING              	                                                  
2285039	992042	9113705	 WORTEN MOBILE F AVEIR                   	                                                  
2285047	992044	9113705	 WORTEN MOBILE VALONGO                   	                                                  
2285054	992046	9113705	 WORTEN MOBILE AVEIRO                    	                                                  
2285062	992051	9113705	 WORTEN MOBILE ALVERCA                   	                                                  
2285070	992052	9113705	 WORTEN MOBILE FOR.ALMADA                	                                                  
2285088	992053	9113705	 WORTEN MOBILE FOR.BARREIRO              	                                                  
2285096	992055	9113705	 WORTEN MOBILE GARE ORIENTE              	                                                  
2285104	992057	9113705	 WORTEN MOBILE LOURES                    	                                                  
2285112	222061	9113705	 WORTEN MOBILE LOULE II                  	                                                  
2285120	992062	9113705	 WORTEN MOBILE ABRANTES                  	                                                  
2285138	992071	9113705	 WORTEN MOBILE EVORA                     	                                                  
2285146	992074	9113705	 WORTEN MOBILE RIA SHOP OLHAO            	                                                  
2285153	992077	9113705	 WORTEN MOBILE DOLCE VITA TEJO           	                                                  
2285161	992079	9113705	 WORTEN MOBILE TAVIRA                    	                                                  
2285179	992081	9113705	 WORTEN MOBILE CAIS SODRE                	                                                  
2285187	992085	9113705	 WORTEN MOBILE ESP GUIMARAES             	                                                  
2285195	992087	9113705	 WORTEN MOBILE MAIA VIVACI               	                                                  
2285203	992090	9113705	 WORTEN MOBILE MARCOSHOP                 	                                                  
2285211	992092	9113705	 WORTEN MOBILE MAIA JARDIM               	                                                  
2285229	992048	9113473	 WORTEN GAMER AMADORA                    	                                                  
2285237	992058	9113473	 WORTEN GAMER NORTE SHOPP                	                                                  
2285245	222801	9113499	 VOBIS AVEIRO                            	                                                  
2285252	999802	9113499	 VOBIS COLOMBO                           	                                                  
2285260	222803	9113499	 VOBIS GAIA                              	                                                  
2285278	999804	9113499	 VOBIS GUIA                              	                                                  
2285286	999805	9113499	 VOBIS NORTE SHOPPING                    	                                                  
2285294	999806	9113499	 VOBIS VASCO GAMA                        	                                                  
2285302	999807	9113499	 VOBIS ALMADA                            	                                                  
2285310	222808	9113499	 VOBIS MADEIRA SHOPPING                  	                                                  
2285328	222809	9113499	 VOBIS PARQUE NASCENTE                   	                                                  
2285336	222810	9113499	 VOBIS VIANA DO CASTELO                  	                                                  
2285344	222811	9113499	 VOBIS BRAGANCA                          	                                                  
2285351	999812	9113499	 VOBIS EIRAS-COIMBRA                     	                                                  
2285369	222813	9113499	 VOBIS FORUM MADEIRA                     	                                                  
2285377	222814	9113499	 VOBIS BRAGA PARQUE                      	                                                  
2285385	999815	9113499	 VOBIS STADIUM COIMBRA                   	                                                  
2285393	222816	9113499	 VOBIS ANTAS                             	                                                  
2285401	222817	9113499	 VOBIS FLORESTA CENTER                   	                                                  
2285419	999818	9113499	 VOBIS LOURES                            	                                                  
2285427	222819	9113499	 VOBIS MONTIJO                           	                                                  
2285435	999821	9113499	 VOBIS SEIXAL                            	                                                  
2285443	0	9113499	 VOBIS SITE                              	                                                  
2285450	222856	9113507	 INSCO PONTA DELGADA -VOBIS              	                                                  
2285468	888001	9113424	 CONTINENTE MATOSINHOS                   	                                                  
2285476	888002	9113424	 CONTINENTE AMADORA                      	                                                  
2285484	888003	9113424	 CONTINENTE CASCAIS                      	                                                  
2285492	888004	9113424	 CONTINENTE GAIA SHOPPING                	                                                  
2285500	888005	9113424	 CONTINENTE LEIRIA                       	                                                  
2285518	888006	9113424	 CONTINENTE COIMBRA SHOPP                	                                                  
2285526	888007	9113424	 CONTINENTE SEIXAL                       	                                                  
2285534	888008	9113424	 CONTINENTE GUIMARAES                    	                                                  
2285542	888009	9113424	 CONTINENTE COLOMBO                      	                                                  
2285559	888010	9113424	 CONTINENTE MAIA                         	                                                  
2285567	888011	9113424	 CONTINENTE LOURES SHOPP                 	                                                  
2285575	888012	9113424	 CONTINENTE VASCO GAMA                   	                                                  
2285583	888013	9113424	 CONTINENTE GUIA                         	                                                  
2285591	888014	9113424	 CONTINENTE ANTAS                        	                                                  
2285609	888016	9113424	 CONTINENTE OVAR                         	                                                  
2285617	888029	9113424	 CONTINENTE BRAGA R.CENTER               	                                                  
2285625	888202	9113424	 CONTINENTE PORTIMAO                     	                                                  
2285633	888203	9113424	 CONTINENTE VISEU                        	                                                  
2285641	888204	9113424	 CONTINENTE VILA REAL                    	                                                  
2285658	555207	9113424	 CONTINENTE BEJA                         	                                                  
2285666	888209	9113424	 CONTINENTE VIANA                        	                                                  
2285674	888210	9113424	 CONTINENTE S J MADEIRA                  	                                                  
2285682	888212	9113424	 CONTINENTE COVILHA                      	                                                  
2285690	555215	9113424	 CONTINENTE SANTAREM                     	                                                  
2285708	888333	9113424	 CONTINENTE MAIA JARDIM                  	                                                  
2285716	888439	9113424	 CONTINENTE MAFRA                        	                                                  
2285724	888446	9113424	 CONTINENTE LOULE                        	                                                  
2285732	888458	9113424	 CONTINENTE AVEIRO                       	                                                  
2285740	888459	9113424	 CONTINENTE BRAGA                        	                                                  
2285757	888460	9113424	 CONTINENTE GAIA                         	                                                  
2285765	888461	9113424	 CONTINENTE LOURES                       	                                                  
2285773	888462	9113424	 CONTINENTE MONTIJO                      	                                                  
2285781	888463	9113424	 CONTINENTE OEIRAS                       	                                                  
2285799	888464	9113424	 CONTINENTE TELHEIRAS                    	                                                  
2285807	888465	9113424	 CONTINENTE FORUM COIMBRA                	                                                  
2285815	888466	9113424	 CONTINENTE VALE DO SOUSA                	                                                  
2285823	888467	9113424	 CONTINENTE PORTIMAO RET PARK            	                                                  
2285831	888468	9113424	 CONTINENTE TORRES NOVAS                 	                                                  
2285849	222471	9113424	 CONTINENTE VISEU RETAIL PARK            	                                                  
2285856	888940	9113424	 CONTINENTE VALONGO                      	                                                  
2285864	881051	9113424	 CONTINENTE TAVIRA                       	                                                  
2285872	881077	9113424	 CONTINENTE OUTLET VISEU                 	                                                  
2285880	881231	9113424	 CONTINENTE OTFREEP ALCOCHETE            	                                                  
2285898	818001	9113424	 CONTINENTE MATOSINHOS                   	                                                  
2285906	828002	9113424	 CONTINENTE AMADORA                      	                                                  
