0MEFAC03084812011033100120110228001201103319780022777                                                 
1201103310311100550022777PT503016160   DIRECTOR MEIOS E PROJECTOS              301                    
2A     Ligaá∆o Central                                                                                
5E 9 3 MCLN520110304001000001                                                                         
5E 9 3 MCLN520110304001000001                                                                         
5E 9 3 MCLN520110304001000001                                                                         
5E 9 3 MCLN520110304001000001                                                                         
5E 9 3 MCLN520110304001000001                                                                         
5E 9 3 MCLN520110304001000001                                                                         
5E 9 3 MCLN520110305001000001                                                                         
5E 9 3 MCLN520110306001000001                                                                         
5E 9 3 MCLN520110306001000001                                                                         
5E 9 3 MCLN520110306001000001                                                                         
5E 9 3 MCLN520110307001000001                                                                         
5E 9 3 MCLN520110308001000001                                                                         
5E 9 3 MCLN520110309001000001                                                                         
5E 9 3 MCLN520110309001000001                                                                         
5E 9 3 MCLN520110309001000001                                                                         
5E 9 3 MCLN520110311001000001                                                                         
5E 9 3 MCLN520110311001000001                                                                         
5E 9 3 MCLN520110311001000001                                                                         
5E 9 3 MCLN520110311001000001                                                                         
5E 9 3 MCLN520110311001000001                                                                         
5E 9 3 MCLN520110311001000001                                                                         
5E 9 3 MCLN520110311001000001                                                                         
5E 9 3 MCLN520110311001000001                                                                         
5E 9 3 MCLN520110311001000001                                                                         
5E 9 3 MCLN520110311001000001                                                                         
5E 9 3 MCLN520110311001000001                                                                         
5E 9 3 MCLN520110311001000001                                                                         
5E 9 3 MCLN520110311001000001                                                                         
5E 9 3 MCLN520110311001000001                                                                         
5E 9 3 MCLN520110311001000001                                                                         
5E 9 3 MCLN520110311001000001                                                                         
5E 9 3 MCLN520110311001000001                                                                         
5E 9 3 MCLN520110311001000001                                                                         
5E 9 3 MCLN520110311001000001                                                                         
5E 9 3 MCLN520110311001000001                                                                         
5E 9 3 MCLN520110311001000001                                                                         
5E 9 3 MCLN520110311001000001                                                                         
5E 9 3 MCLN520110311001000001                                                                         
5E 9 3 MCLN520110311001000001                                                                         
5E 9 3 MCLN520110311001000001                                                                         
5E 9 3 MCLN520110311001000001                                                                         
5E 9 3 MCLN520110311001000001                                                                         
5E 9 3 MCLN520110315001000001                                                                         
5E 9 3 MCLN520110316001000001                                                                         
5E 9 3 MCLN520110316001000001                                                                         
5E 9 3 MCLN520110317001000001                                                                         
5E 9 3 MCLN520110317001000001                                                                         
5E 9 3 MCLN520110317001000001                                                                         
5E 9 3 MCLN520110317001000001                                                                         
5E 9 3 MCLN520110317001000001                                                                         
5E 9 3 MCLN520110317001000001                                                                         
5E 9 3 MCLN520110317001000001                                                                         
5E 9 3 MCLN520110317001000001                                                                         
5E 9 3 MCLN520110317001000001                                                                         
5E 9 3 MCLN520110317001000001                                                                         
5E 9 3 MCLN520110317001000001                                                                         
5E 9 3 MCLN520110317001000001                                                                         
5E 9 3 MCLN520110317001000001                                                                         
5E 9 3 MCLN520110317001000001                                                                         
